지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2022-11-01 00:39,12.4,0,288.8,1.9,1012.7,1023,87.5,0,0
108,2022-11-01 00:40,12.4,0,269.7,1.6,1012.7,1023,86.5,0,0
108,2022-11-01 00:41,12.4,0,277.6,1.5,1012.7,1023,87.4,0,0
108,2022-11-01 00:42,12.4,0,275.7,1.9,1012.7,1023,88,0,0
108,2022-11-01 00:43,12.4,0,277,2.3,1012.7,1023,88.4,0,0
108,2022-11-01 00:44,12.4,0,287.1,2,1012.7,1023,87.7,0,0
108,2022-11-01 00:45,12.4,0,290.4,2.2,1012.7,1023,87.8,0,0
108,2022-11-01 00:46,12.4,0,278.5,2.5,1012.7,1023,87.9,0,0
108,2022-11-01 00:47,12.4,0,281.3,2,1012.7,1023,88.9,0,0
108,2022-11-01 00:48,12.4,0,275.6,1.9,1012.7,1023,88.6,0,0
108,2022-11-01 00:49,12.4,0,283.7,1.9,1012.7,1023,88.2,0,0
108,2022-11-01 00:50,12.4,0,272.3,1.2,1012.7,1023,86.9,0,0
108,2022-11-01 00:51,12.4,0,270.3,1.6,1012.7,1023,88.5,0,0
108,2022-11-01 00:52,12.4,0,279.9,1.9,1012.7,1023,88.3,0,0
108,2022-11-01 00:53,12.4,0,285.5,1.8,1012.7,1023,87.7,0,0
108,2022-11-01 00:54,12.4,0,292.2,1.3,1012.7,1023,86.9,0,0
108,2022-11-01 00:55,12.3,0,253.3,.4,1012.8,1023.1,87.3,0,0
108,2022-11-01 00:56,12.3,0,291.6,.9,1012.8,1023.1,87.5,0,0
108,2022-11-01 00:57,12.3,0,253.1,.3,1012.8,1023.1,87.9,0,0
108,2022-11-01 00:58,12.3,0,256.2,1,1012.8,1023.1,88.1,0,0
108,2022-11-01 00:59,12.3,0,281.7,1.3,1012.8,1023.1,87.7,0,0
108,2022-11-01 01:00,12.3,0,283.2,1.2,1012.8,1023.1,87,0,0
108,2022-11-01 01:01,12.3,0,254,1.6,1012.8,1023.1,87.6,0,0
108,2022-11-01 01:02,12.3,0,294,2.3,1012.7,1023,88.1,0,0
108,2022-11-01 01:03,12.3,0,293.5,2.3,1012.7,1023,87.8,0,0
108,2022-11-01 01:04,12.3,0,283.2,2.2,1012.7,1023,88.8,0,0
108,2022-11-01 01:05,12.3,0,282.1,1.8,1012.7,1023,87.9,0,0
108,2022-11-01 01:06,12.3,0,288.7,1.8,1012.7,1023,88.5,0,0
108,2022-11-01 01:07,12.3,0,283,1.9,1012.7,1023,88.9,0,0
108,2022-11-01 01:08,12.3,0,288.8,1.7,1012.8,1023.1,89,0,0
108,2022-11-01 01:09,12.4,0,279.8,1.7,1012.8,1023.1,88,0,0
108,2022-11-01 01:10,12.4,0,289.7,2.2,1012.8,1023.1,87.9,0,0
108,2022-11-01 01:11,12.4,0,288.5,1.5,1012.7,1023,88.3,0,0
108,2022-11-01 01:12,12.3,0,270.2,.5,1012.7,1023,87.7,0,0
108,2022-11-01 01:13,12.3,0,267.1,1,1012.7,1023,88.4,0,0
108,2022-11-01 01:14,12.3,0,294.3,1.2,1012.7,1023,88.3,0,0
108,2022-11-01 01:15,12.3,0,301.4,1.5,1012.7,1023,87.8,0,0
108,2022-11-01 01:16,12.3,0,252.3,1.2,1012.7,1023,88.4,0,0
108,2022-11-01 01:17,12.3,0,270.3,1.3,1012.7,1023,87.1,0,0
108,2022-11-01 01:18,12.3,0,270.2,1.1,1012.7,1023,88.4,0,0
108,2022-11-01 01:19,12.3,0,248.9,1.2,1012.7,1023,88.4,0,0
108,2022-11-01 01:20,12.3,0,272.5,1.6,1012.7,1023,88.3,0,0
108,2022-11-01 01:21,12.3,0,312.6,1.6,1012.7,1023,87.2,0,0
108,2022-11-01 01:22,12.3,0,293.1,1.2,1012.7,1023,87.4,0,0
108,2022-11-01 01:23,12.3,0,305.4,1.5,1012.7,1023,87.7,0,0
108,2022-11-01 01:24,12.3,0,271.9,1.9,1012.6,1022.9,87.9,0,0
108,2022-11-01 01:25,12.3,0,290.5,1.6,1012.6,1022.9,88.2,0,0
108,2022-11-01 01:26,12.3,0,299.5,1.9,1012.6,1022.9,88.1,0,0
108,2022-11-01 01:27,12.3,0,284.4,1.3,1012.6,1022.9,88.4,0,0
108,2022-11-01 01:28,12.3,0,286.3,1.3,1012.6,1022.9,88.2,0,0
108,2022-11-01 01:29,12.3,0,289.7,.7,1012.6,1022.9,87.3,0,0
108,2022-11-01 01:30,12.3,0,308.4,1.5,1012.6,1022.9,86.5,0,0
108,2022-11-01 01:31,12.3,0,287.5,1.3,1012.6,1022.9,86.6,0,0
108,2022-11-01 01:32,12.3,0,265.8,1,1012.6,1022.9,87.1,0,0
108,2022-11-01 01:33,12.3,0,300,1.3,1012.6,1022.9,86.7,0,0
108,2022-11-01 01:34,12.3,0,284.8,.9,1012.6,1022.9,87.1,0,0
108,2022-11-01 01:35,12.3,0,235.3,.4,1012.6,1022.9,87.6,0,0
108,2022-11-01 01:36,12.3,0,276.1,.4,1012.6,1022.9,86.4,0,0
108,2022-11-01 01:37,12.2,0,281.7,1.1,1012.6,1023,85.9,0,0
108,2022-11-01 01:38,12.2,0,266.7,.9,1012.6,1023,86.5,0,0
108,2022-11-01 01:39,12.2,0,265.9,1.4,1012.6,1023,86.2,0,0
108,2022-11-01 01:40,12.2,0,286.8,1.2,1012.6,1023,87.4,0,0
108,2022-11-01 01:41,12.2,0,306.9,1.1,1012.6,1023,87.6,0,0
108,2022-11-01 01:42,12.3,0,300.5,1.8,1012.6,1022.9,86.3,0,0
108,2022-11-01 01:43,12.3,0,280.7,.9,1012.6,1022.9,87.8,0,0
108,2022-11-01 01:44,12.3,0,292,.7,1012.6,1022.9,88,0,0
108,2022-11-01 01:45,12.2,0,287.5,1.6,1012.6,1023,88.4,0,0
108,2022-11-01 01:46,12.3,0,296.3,1.8,1012.6,1022.9,88.4,0,0
108,2022-11-01 01:47,12.3,0,287.6,1.7,1012.6,1022.9,88,0,0
108,2022-11-01 01:48,12.3,0,262.9,1.5,1012.6,1022.9,89.2,0,0
108,2022-11-01 01:49,12.3,0,261.8,1.3,1012.6,1022.9,89.1,0,0
108,2022-11-01 01:50,12.3,0,298.5,.9,1012.6,1022.9,89.5,0,0
108,2022-11-01 01:51,12.3,0,301.1,1.8,1012.6,1022.9,89.1,0,0
108,2022-11-01 01:52,12.3,0,283.9,2.3,1012.6,1022.9,89.9,0,0
108,2022-11-01 01:53,12.3,0,293,1.8,1012.7,1023,90.2,0,0
108,2022-11-01 01:54,12.3,0,297.9,1.3,1012.7,1023,90.3,0,0
108,2022-11-01 01:55,12.3,0,297.1,1.5,1012.6,1022.9,90,0,0
108,2022-11-01 01:56,12.3,0,313.7,2.1,1012.6,1022.9,89.7,0,0
108,2022-11-01 01:57,12.3,0,353.3,1.5,1012.6,1022.9,87.9,0,0
108,2022-11-01 01:58,12.3,0,311.2,2.1,1012.6,1022.9,89.2,0,0
108,2022-11-01 01:59,12.3,0,316.1,1.4,1012.6,1022.9,90.1,0,0
108,2022-11-01 02:00,12.3,0,308.8,1.1,1012.6,1022.9,90.1,0,0
108,2022-11-01 02:01,12.3,0,309.1,1.7,1012.6,1022.9,90.1,0,0
108,2022-11-01 02:02,12.3,0,296.4,1.8,1012.6,1022.9,90.2,0,0
108,2022-11-01 02:03,12.3,0,288.8,1.2,1012.6,1022.9,90.3,0,0
108,2022-11-01 02:04,12.3,0,258,.8,1012.6,1022.9,90.2,0,0
108,2022-11-01 02:05,12.3,0,241.9,.6,1012.6,1022.9,89,0,0
108,2022-11-01 02:06,12.3,0,229,.4,1012.6,1022.9,89.6,0,0
108,2022-11-01 02:07,12.3,0,251.1,.6,1012.6,1022.9,89,0,0
108,2022-11-01 02:08,12.2,0,263.3,.7,1012.6,1023,88.9,0,0
108,2022-11-01 02:09,12.2,0,294,.3,1012.6,1023,88.3,0,0
108,2022-11-01 02:10,12.2,0,267.4,0,1012.6,1023,88.6,0,0
108,2022-11-01 02:11,12.2,0,244.5,.6,1012.5,1022.9,89.2,0,0
108,2022-11-01 02:12,12.2,0,260.8,.7,1012.5,1022.9,88.2,0,0
108,2022-11-01 02:13,12.2,0,255.6,.9,1012.5,1022.9,87.7,0,0
108,2022-11-01 02:14,12.2,0,266.5,.5,1012.5,1022.9,89,0,0
108,2022-11-01 02:15,12.1,0,282.9,1,1012.5,1022.9,88.9,0,0
108,2022-11-01 02:16,12.1,0,260.8,1.2,1012.5,1022.9,88.9,0,0
108,2022-11-01 02:17,12.1,0,256.8,1,1012.5,1022.9,89.5,0,0
108,2022-11-01 02:18,12.1,0,290,1.1,1012.5,1022.9,89.2,0,0
108,2022-11-01 02:19,12.1,0,302.2,2,1012.5,1022.9,89.6,0,0
108,2022-11-01 02:20,12.1,0,303.9,1.3,1012.5,1022.9,90.1,0,0
108,2022-11-01 02:21,12.1,0,321.6,.9,1012.4,1022.8,89.7,0,0
108,2022-11-01 02:22,12.1,0,336.9,.4,1012.4,1022.8,89.4,0,0
108,2022-11-01 02:23,12,0,0,0,1012.4,1022.8,88.4,0,0
108,2022-11-01 02:24,12,0,0,0,1012.4,1022.8,89,0,0
108,2022-11-01 02:25,12,0,0,0,1012.4,1022.8,88.4,0,0
108,2022-11-01 02:26,12,0,0,0,1012.4,1022.8,88.2,0,0
108,2022-11-01 02:27,12,0,0,0,1012.4,1022.8,89.1,0,0
108,2022-11-01 02:28,12,0,68.1,.1,1012.4,1022.8,88,0,0
108,2022-11-01 02:29,12,0,43.4,.1,1012.4,1022.8,87.5,0,0
108,2022-11-01 02:30,12,0,0,0,1012.4,1022.8,88.3,0,0
108,2022-11-01 02:31,12,0,0,0,1012.4,1022.8,87.8,0,0
108,2022-11-01 02:32,11.9,0,164.5,0,1012.4,1022.8,87.8,0,0
108,2022-11-01 02:33,11.9,0,216.2,0,1012.4,1022.8,88,0,0
108,2022-11-01 02:34,11.9,0,218.7,.5,1012.3,1022.7,88.4,0,0
108,2022-11-01 02:35,11.9,0,243.1,1,1012.3,1022.7,89,0,0
108,2022-11-01 02:36,11.9,0,252.8,1.1,1012.3,1022.7,88.8,0,0
108,2022-11-01 02:37,11.9,0,254.1,1.2,1012.3,1022.7,88.2,0,0
108,2022-11-01 02:38,11.9,0,255,1.2,1012.3,1022.7,87.9,0,0
108,2022-11-01 02:39,11.8,0,257.5,.9,1012.3,1022.7,87.2,0,0
108,2022-11-01 02:40,11.8,0,281.9,1.1,1012.3,1022.7,87.9,0,0
108,2022-11-01 02:41,11.8,0,277.5,1.3,1012.3,1022.7,88.6,0,0
108,2022-11-01 02:42,11.8,0,278.5,1.1,1012.3,1022.7,88.5,0,0
108,2022-11-01 02:43,11.8,0,273.9,.7,1012.2,1022.6,88.5,0,0
108,2022-11-01 02:44,11.8,0,236,.7,1012.2,1022.6,87.7,0,0
108,2022-11-01 02:45,11.8,0,235.1,.6,1012.2,1022.6,87.5,0,0
108,2022-11-01 02:46,11.8,0,235.1,.6,1012.2,1022.6,88.5,0,0
108,2022-11-01 02:47,11.8,0,238,.6,1012.2,1022.6,87.3,0,0
108,2022-11-01 02:48,11.7,0,241.2,.3,1012.2,1022.6,87.6,0,0
108,2022-11-01 02:49,11.8,0,239.9,.9,1012.2,1022.6,88.3,0,0
108,2022-11-01 02:50,11.7,0,246,.6,1012.2,1022.6,87.6,0,0
108,2022-11-01 02:51,11.7,0,240.2,.7,1012.2,1022.6,87.1,0,0
108,2022-11-01 02:52,11.7,0,231.3,.9,1012.2,1022.6,87.4,0,0
108,2022-11-01 02:53,11.7,0,237.5,.7,1012.2,1022.6,88.4,0,0
108,2022-11-01 02:54,11.7,0,220.4,.7,1012.2,1022.6,88.8,0,0
108,2022-11-01 02:55,11.7,0,215.9,.7,1012.2,1022.6,88.9,0,0
108,2022-11-01 02:56,11.7,0,212.5,.7,1012.2,1022.6,88.6,0,0
108,2022-11-01 02:57,11.7,0,222.3,1.1,1012.2,1022.6,88.2,0,0
108,2022-11-01 02:58,11.7,0,215,1.3,1012.2,1022.6,88.9,0,0
108,2022-11-01 02:59,11.7,0,220.3,1.2,1012.2,1022.6,88.4,0,0
108,2022-11-01 03:00,11.7,0,239.8,1,1012.2,1022.6,89.1,0,0
108,2022-11-01 03:01,11.7,0,253,.8,1012.2,1022.6,89.4,0,0
108,2022-11-01 03:02,11.7,0,245.5,.8,1012.2,1022.6,89.4,0,0
108,2022-11-01 03:03,11.7,0,247.2,.4,1012.2,1022.6,89.3,0,0
108,2022-11-01 03:04,11.7,0,234.7,.3,1012.2,1022.6,89.4,0,0
108,2022-11-01 03:05,11.7,0,214.8,0,1012.2,1022.6,89.3,0,0
108,2022-11-01 03:06,11.7,0,237.3,0,1012.2,1022.6,89.1,0,0
108,2022-11-01 03:07,11.7,0,224.5,.5,1012.2,1022.6,89.5,0,0
108,2022-11-01 03:08,11.7,0,222.1,.4,1012.2,1022.6,89,0,0
108,2022-11-01 03:09,11.7,0,230.4,.6,1012.2,1022.6,89.6,0,0
108,2022-11-01 03:10,11.7,0,232.6,.9,1012.2,1022.6,89.8,0,0
108,2022-11-01 03:11,11.7,0,217.4,.7,1012.2,1022.6,89.8,0,0
108,2022-11-01 03:12,11.7,0,222.4,.6,1012.2,1022.6,89.7,0,0
108,2022-11-01 03:13,11.6,0,226.8,.7,1012.2,1022.6,89.4,0,0
108,2022-11-01 03:14,11.6,0,218.4,.9,1012.2,1022.6,89.8,0,0
108,2022-11-01 03:15,11.6,0,193.2,1.1,1012.2,1022.6,89.1,0,0
108,2022-11-01 03:16,11.6,0,184.5,1.2,1012.1,1022.5,88.6,0,0
108,2022-11-01 03:17,11.6,0,183,1.4,1012.1,1022.5,89.4,0,0
108,2022-11-01 03:18,11.6,0,189.7,1.4,1012.1,1022.5,89.9,0,0
108,2022-11-01 03:19,11.6,0,190.1,1.3,1012.1,1022.5,89.8,0,0
108,2022-11-01 03:20,11.6,0,199,1.3,1012.1,1022.5,89.5,0,0
108,2022-11-01 03:21,11.6,0,193.4,1.2,1012.1,1022.5,89.7,0,0
108,2022-11-01 03:22,11.6,0,193.3,1.1,1012.1,1022.5,90,0,0
108,2022-11-01 03:23,11.6,0,193.9,1.2,1012.1,1022.5,89.9,0,0
108,2022-11-01 03:24,11.6,0,189.7,1.4,1012.1,1022.5,89.1,0,0
108,2022-11-01 03:25,11.6,0,200,1.4,1012.1,1022.5,88.6,0,0
108,2022-11-01 03:26,11.5,0,203.8,1.4,1012.1,1022.5,88.9,0,0
108,2022-11-01 03:27,11.6,0,198.9,1.4,1012.1,1022.5,88.6,0,0
108,2022-11-01 03:28,11.6,0,208.3,1.1,1012.1,1022.5,89.6,0,0
108,2022-11-01 03:29,11.6,0,218.1,1,1012.1,1022.5,89.7,0,0
108,2022-11-01 03:30,11.6,0,232.3,.7,1012.1,1022.5,89.6,0,0
108,2022-11-01 03:31,11.6,0,234.8,.9,1012.1,1022.5,89.6,0,0
108,2022-11-01 03:32,11.6,0,240,1,1012,1022.4,89.9,0,0
108,2022-11-01 03:33,11.6,0,232.9,1.1,1012,1022.4,89.9,0,0
108,2022-11-01 03:34,11.6,0,223.4,1.3,1012,1022.4,90.1,0,0
108,2022-11-01 03:35,11.6,0,219.3,1.2,1012,1022.4,89.5,0,0
108,2022-11-01 03:36,11.6,0,217.7,1,1012,1022.4,89.9,0,0
108,2022-11-01 03:37,11.6,0,219.9,1.1,1012,1022.4,89.8,0,0
108,2022-11-01 03:38,11.6,0,214.1,.9,1012,1022.4,89.3,0,0
108,2022-11-01 03:39,11.6,0,210.9,.8,1012,1022.4,89.6,0,0
108,2022-11-01 03:40,11.6,0,219.8,.8,1011.9,1022.3,89.2,0,0
108,2022-11-01 03:41,11.6,0,209.5,.7,1011.9,1022.3,89.8,0,0
108,2022-11-01 03:42,11.6,0,201.3,.9,1011.9,1022.3,89.4,0,0
108,2022-11-01 03:43,11.6,0,205.4,.8,1011.9,1022.3,90.5,0,0
108,2022-11-01 03:44,11.6,0,219.3,.5,1011.9,1022.3,90.5,0,0
108,2022-11-01 03:45,11.6,0,210.9,.9,1011.9,1022.3,89.5,0,0
108,2022-11-01 03:46,11.5,0,214.1,.8,1011.8,1022.2,89.6,0,0
108,2022-11-01 03:47,11.5,0,213.5,.3,1011.8,1022.2,89.5,0,0
108,2022-11-01 03:48,11.5,0,0,0,1011.8,1022.2,88.6,0,0
108,2022-11-01 03:49,11.5,0,186.3,0,1011.8,1022.2,89,0,0
108,2022-11-01 03:50,11.5,0,204.9,.2,1011.8,1022.2,90.4,0,0
108,2022-11-01 03:51,11.5,0,149.3,0,1011.8,1022.2,91,0,0
108,2022-11-01 03:52,11.5,0,139.5,0,1011.8,1022.2,91.1,0,0
108,2022-11-01 03:53,11.5,0,0,0,1011.8,1022.2,91.7,0,0
108,2022-11-01 03:54,11.5,0,0,0,1011.8,1022.2,91.1,0,0
108,2022-11-01 03:55,11.5,0,0,0,1011.8,1022.2,91.8,0,0
108,2022-11-01 03:56,11.5,0,0,0,1011.8,1022.2,91,0,0
108,2022-11-01 03:57,11.5,0,0,0,1011.8,1022.2,91.1,0,0
108,2022-11-01 03:58,11.5,0,0,0,1011.8,1022.2,91.7,0,0
108,2022-11-01 03:59,11.5,0,0,0,1011.8,1022.2,91.5,0,0
108,2022-11-01 04:00,11.5,0,0,0,1011.8,1022.2,91.5,0,0
108,2022-11-01 04:01,11.5,0,0,0,1011.8,1022.2,91.7,0,0
108,2022-11-01 04:02,11.5,0,0,0,1011.8,1022.2,91.7,0,0
108,2022-11-01 04:03,11.5,0,0,0,1011.8,1022.2,91.3,0,0
108,2022-11-01 04:04,11.5,0,280.1,.1,1011.8,1022.2,91.8,0,0
108,2022-11-01 04:05,11.5,0,281.6,1,1011.8,1022.2,91.9,0,0
108,2022-11-01 04:06,11.5,0,280.1,1,1011.8,1022.2,91.3,0,0
108,2022-11-01 04:07,11.5,0,285.6,1,1011.8,1022.2,92.1,0,0
108,2022-11-01 04:08,11.5,0,280.8,.8,1011.8,1022.2,92.1,0,0
108,2022-11-01 04:09,11.5,0,272.5,.9,1011.9,1022.3,92,0,0
108,2022-11-01 04:10,11.5,0,272.7,.9,1011.9,1022.3,90.8,0,0
108,2022-11-01 04:11,11.5,0,270.3,.9,1011.9,1022.3,91.3,0,0
108,2022-11-01 04:12,11.5,0,264.6,.9,1011.8,1022.2,91.7,0,0
108,2022-11-01 04:13,11.5,0,267.5,.9,1011.8,1022.2,91.8,0,0
108,2022-11-01 04:14,11.5,0,267.1,.9,1011.8,1022.2,91.6,0,0
108,2022-11-01 04:15,11.5,0,269,.8,1011.8,1022.2,91.5,0,0
108,2022-11-01 04:16,11.5,0,273,.8,1011.8,1022.2,91.5,0,0
108,2022-11-01 04:17,11.5,0,269.4,.8,1011.8,1022.2,90.8,0,0
108,2022-11-01 04:18,11.4,0,261.6,.6,1011.8,1022.2,90.6,0,0
108,2022-11-01 04:19,11.4,0,264.8,.8,1011.8,1022.2,91.6,0,0
108,2022-11-01 04:20,11.4,0,267.4,.8,1011.8,1022.2,91.2,0,0
108,2022-11-01 04:21,11.4,0,263.5,.7,1011.7,1022.1,91,0,0
108,2022-11-01 04:22,11.4,0,270.6,.5,1011.7,1022.1,90.6,0,0
108,2022-11-01 04:23,11.4,0,273,.7,1011.7,1022.1,91,0,0
108,2022-11-01 04:24,11.4,0,268,.9,1011.7,1022.1,90.7,0,0
108,2022-11-01 04:25,11.4,0,271.7,.7,1011.7,1022.1,90.9,0,0
108,2022-11-01 04:26,11.4,0,286.9,.6,1011.7,1022.1,91.1,0,0
108,2022-11-01 04:27,11.4,0,293.6,.8,1011.7,1022.1,91,0,0
108,2022-11-01 04:28,11.4,0,290.4,1,1011.7,1022.1,90.1,0,0
108,2022-11-01 04:29,11.4,0,293.7,1,1011.7,1022.1,91.1,0,0
108,2022-11-01 04:30,11.4,0,298.1,.9,1011.7,1022.1,91.6,0,0
108,2022-11-01 04:31,11.4,0,309.5,1.1,1011.7,1022.1,91.6,0,0
108,2022-11-01 04:32,11.4,0,317.8,1,1011.7,1022.1,90.9,0,0
108,2022-11-01 04:33,11.4,0,326,.9,1011.7,1022.1,92.1,0,0
108,2022-11-01 04:34,11.4,0,338.3,1,1011.7,1022.1,92.4,0,0
108,2022-11-01 04:35,11.3,0,333.4,.9,1011.7,1022.1,92.2,0,0
108,2022-11-01 04:36,11.3,0,334.8,.8,1011.7,1022.1,91.8,0,0
108,2022-11-01 04:37,11.3,0,342.5,.6,1011.6,1022,92.3,0,0
108,2022-11-01 04:38,11.3,0,346.7,.8,1011.6,1022,92,0,0
108,2022-11-01 04:39,11.3,0,339.4,.8,1011.6,1022,92.1,0,0
108,2022-11-01 04:40,11.3,0,330.4,.5,1011.6,1022,91.8,0,0
108,2022-11-01 04:41,11.3,0,339.4,.6,1011.6,1022,91.8,0,0
108,2022-11-01 04:42,11.3,0,320.3,.7,1011.6,1022,91.5,0,0
108,2022-11-01 04:43,11.2,0,304.3,.6,1011.6,1022,91.6,0,0
108,2022-11-01 04:44,11.2,0,301.9,.3,1011.6,1022,90.9,0,0
108,2022-11-01 04:45,11.2,0,278.7,.1,1011.6,1022,90.2,0,0
108,2022-11-01 04:46,11.2,0,271.2,.4,1011.6,1022,90.3,0,0
108,2022-11-01 04:47,11.2,0,277.1,.4,1011.7,1022.1,91,0,0
108,2022-11-01 04:48,11.2,0,262.4,.1,1011.7,1022.1,91.6,0,0
108,2022-11-01 04:49,11.2,0,0,0,1011.7,1022.1,91.3,0,0
108,2022-11-01 04:50,11.2,0,280.3,0,1011.7,1022.1,89.9,0,0
108,2022-11-01 04:51,11.2,0,287.3,.3,1011.7,1022.1,91,0,0
108,2022-11-01 04:52,11.2,0,288.5,.1,1011.7,1022.1,91.6,0,0
108,2022-11-01 04:53,11.2,0,0,0,1011.7,1022.1,92,0,0
108,2022-11-01 04:54,11.2,0,0,0,1011.7,1022.1,91.1,0,0
108,2022-11-01 04:55,11.2,0,310.9,.5,1011.7,1022.1,90.9,0,0
108,2022-11-01 04:56,11.2,0,303.4,.8,1011.7,1022.1,92,0,0
108,2022-11-01 04:57,11.2,0,323.3,.7,1011.7,1022.1,92,0,0
108,2022-11-01 04:58,11.2,0,333.3,.7,1011.7,1022.1,91.9,0,0
108,2022-11-01 04:59,11.2,0,325.3,.8,1011.7,1022.1,92.2,0,0
108,2022-11-01 05:00,11.2,0,328,.7,1011.7,1022.1,92.2,0,0
108,2022-11-01 05:01,11.1,0,328.4,.6,1011.7,1022.1,91.9,0,0
108,2022-11-01 05:02,11.1,0,328.4,.6,1011.7,1022.1,91.8,0,0
108,2022-11-01 05:03,11.1,0,322.2,.5,1011.7,1022.1,92,0,0
108,2022-11-01 05:04,11.1,0,318.6,.5,1011.7,1022.1,92,0,0
108,2022-11-01 05:05,11.1,0,325.4,.4,1011.7,1022.1,91.5,0,0
108,2022-11-01 05:06,11.1,0,345.2,.3,1011.7,1022.1,91.6,0,0
108,2022-11-01 05:07,11.1,0,349.8,.3,1011.7,1022.1,91.6,0,0
108,2022-11-01 05:08,11.1,0,344.9,.3,1011.7,1022.1,91.9,0,0
108,2022-11-01 05:09,11.1,0,336.8,.6,1011.7,1022.1,91.7,0,0
108,2022-11-01 05:10,11.1,0,339.3,.9,1011.7,1022.1,91.6,0,0
108,2022-11-01 05:11,11,0,347.3,1,1011.8,1022.2,91.4,0,0
108,2022-11-01 05:12,11,0,341.5,1,1011.8,1022.2,91.6,0,0
108,2022-11-01 05:13,11,0,329.7,.8,1011.8,1022.2,91.2,0,0
108,2022-11-01 05:14,11,0,311.4,.7,1011.8,1022.2,90.8,0,0
108,2022-11-01 05:15,11,0,305.4,.5,1011.8,1022.2,91.4,0,0
108,2022-11-01 05:16,11,0,314.6,.4,1011.8,1022.2,91.8,0,0
108,2022-11-01 05:17,11,0,320.3,.4,1011.8,1022.2,91.8,0,0
108,2022-11-01 05:18,11,0,325.8,.3,1011.8,1022.2,91.6,0,0
108,2022-11-01 05:19,11,0,335.2,.3,1011.8,1022.2,91.7,0,0
108,2022-11-01 05:20,11,0,339.3,.2,1011.8,1022.2,91.6,0,0
108,2022-11-01 05:21,10.9,0,0,0,1011.8,1022.2,91.7,0,0
